run_tag,design_name,config,flow_status,CLOCK_PERIOD,total_runtime,DIEAREA_mm^2,Final_Util,wns,tns,critical_path_ns,suggested_clock_frequency,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,synth_cell_count,TotalCells,wire_length,tritonRoute_violations,lvs_total_errors
run_clk1_2,spm,run_clk1_2,flow failed,1.2,0h2m3s0ms,0.011479196025000001,-1,-0.31,-11.99,0.94,699.3006993006993,0.00555,0.00248,2.77e-09,301,1113,6614,0,0
run_clk2_0,spm,run_clk2_0,flow failed,1.2,0h2m3s0ms,0.011479196025000001,-1,-0.31,-11.99,0.94,699.3006993006993,0.00555,0.00248,2.77e-09,301,1113,6614,0,0
run_clk1_5,spm,run_clk1_5,flow completed,1.5,0h2m7s0ms,0.011468471025,-1,-0.23,-9.1,0.94,666.6666666666666,0.00442,0.00197,2.55e-09,301,1062,6566,0,0
run_clk2_0b,spm,run_clk2_0b,flow completed,2.0,0h2m2s0ms,0.011465254499999999,-1,-0.01,-0.15,0.93,500.0,0.00331,0.00147,2.65e-09,301,1076,6479,0,0
run_clk4,spm,run_clk4,flow completed,4,0h2m6s0ms,0.011465254499999999,-1,0.0,0.0,0.96,250.0,0.00191,0.000774,2.83e-09,301,1113,6599,0,0
run_clk6,spm,run_clk6,flow completed,6,0h2m8s0ms,0.011465254499999999,-1,0.0,0.0,0.96,166.66666666666666,0.00126,0.000515,2.79e-09,301,1110,6704,0,0
run_clk8,spm,run_clk8,flow completed,8,0h2m5s0ms,0.011465254499999999,-1,0.0,0.0,0.96,125.0,0.000944,0.000383,2.87e-09,301,1130,6615,0,0
openlane_test,spm,openlane_test,flow completed,10,0h2m9s0ms,0.011465254499999999,-1,0.0,0.0,0.96,100.0,0.000754,0.000309,2.79e-09,301,1113,6719,0,0
run_clk10,spm,run_clk10,flow completed,10,0h1m59s0ms,0.011465254499999999,-1,0.0,0.0,0.96,100.0,0.000754,0.000309,2.79e-09,301,1113,6719,0,0
run_clk12,spm,run_clk12,flow completed,12,0h2m3s0ms,0.011465254499999999,-1,0.0,0.0,0.96,83.33333333333333,0.000631,0.000258,2.76e-09,301,1098,6694,0,0
run_clk15,spm,run_clk15,flow completed,15,0h2m3s0ms,0.011465254499999999,-1,0.0,0.0,0.96,66.66666666666667,0.000504,0.000206,2.78e-09,301,1096,6719,0,0
